claim_text,bilstm_prob,fc_prob,fc_found,newsapi_prob,newsapi_found,gnews_prob,gnews_found,llm_prob,llm_found,final_calculated_prob,predicted_label
India LPG Cylinder Shortage News Live Updates: LPG-laden ship to reach India today; 22 Indian vessels yet to cross Strait of Hormuz,0.796917724609375,0.2,0,0.3,0,0.58,1,0.2,0,0.4258458862304688,❌ FAKE NEWS
India LPG Cylinder Shortage News Live Updates: LPG-laden ship to reach India today; 22 Indian vessels yet to cross Strait of Hormuz,0.796917724609375,0.2,0,0.3,0,0.75,1,0.5,0,0.6498458862304688,✅ REAL NEWS
India LPG Cylinder Shortage News Live Updates: LPG-laden ship to reach India today; 22 Indian vessels yet to cross Strait of Hormuz,0.796917724609375,0.2,0,0.3,0,0.75,1,0.5,0,0.6498458862304688,✅ REAL NEWS
"The 2023 World Press Freedom Index, released annually by Reporters Without Borders (RSF), highlights the increasingly perilous situation for reporters on every continent, as journalists face political, social, and technological threats. The report was released on World Press Freedom Day, which GIJN marked with a specific look at how investigative journalists are confronted with challenges to their work in Latin America, Africa, Central Asia, and the Middle East.",0.7980440616607667,0.2,0,0.3,0,0.2,0,0.5,0,0.2,❌ FAKE NEWS
India LPG Cylinder Shortage News Live Updates: LPG-laden ship to reach India today; 22 Indian vessels yet to cross Strait of Hormuz,0.796917724609375,0.2,0,0.3,0,0.75,1,0.5,0,0.6498458862304688,✅ REAL NEWS
"The 2023 World Press Freedom Index, released annually by Reporters Without Borders (RSF), highlights the increasingly perilous situation for reporters on every continent, as journalists face political, social, and technological threats. The report was released on World Press Freedom Day, which GIJN marked with a specific look at how investigative journalists are confronted with challenges to their work in Latin America, Africa, Central Asia, and the Middle East.",0.7980440616607667,0.2,0,0.3,0,0.2,0,0.5,0,0.2,❌ FAKE NEWS
India LPG Cylinder Shortage News Live Updates: LPG-laden ship to reach India today; 22 Indian vessels yet to cross Strait of Hormuz,0.796917724609375,0.2,0,0.3,0,0.75,1,0.5,0,0.6498458862304688,✅ REAL NEWS
kim jong un fires ballistic missiles,0.7980526924133301,0.2,0,0.75,1,0.3,0,0.5,0,0.6499026346206664,✅ REAL NEWS
વડાપ્રધાન નરેન્દ્ર મોદીએ આજે નવી યોજનાની જાહેરાત કરી છે,0.2,0,0.2,0,0.2,0,0.5,0,0.2,❌ FAKE NEWS
વડાપ્રધાન નરેન્દ્ર મોદીએ આજે નવી યોજનાની જાહેરાત કરી છે,0.2,0,0.2,0,0.2,0,0.5,0,0.2,❌ FAKE NEWS
Prime Minister Narendra Modi announced a new scheme today,0.15,1,0.3,0,0.75,1,0.5,0,0.26,❌ FAKE NEWS
"Doha: Tensions in the Middle East are rising as Israel and Iran's conflict continues to escalate. Amidst the ongoing conflict that has lasted for more than two weeks, various information is spreading about Israeli Prime Minister Benjamin Netanyahu. Specifically, the information that he has not been seen in public for the past few days has spread on social media.",0.2,0,0.8500000000000001,1,0.3,0,0.5,0,0.7225000000000001,✅ REAL NEWS
"Doha: Tensions in the Middle East are rising as Israel and Iran's conflict continues to escalate. Amidst the ongoing conflict that has lasted for more than two weeks, various information is spreading about Israeli Prime Minister Benjamin Netanyahu. Specifically, the information that he has not been seen in public for the past few days has spread on social media.",0.2,0,0.8500000000000001,1,0.3,0,0.5,0,0.7225000000000001,✅ REAL NEWS
